Redshift g-r g-i g-z g-w1 g-w2 r-i r-z r-w1 r-w2 i-z i-w1 i-w2 z-w1 z-w2 w1-w2
0.24 -0.09316072530848274 0.008174257280703756 -0.24600539823249434 4.777841078144927 5.903503285490562 0.1013349825891865 -0.1528446729240116 4.87100180345341 5.996664010799044 -0.2541796555131981 4.769666820864224 5.895329028209858 5.023846476377422 6.149508683723056 1.1256622073456342
0.25 -0.09646060539619228 -0.0015067520953202518 -0.2461778690505696 4.755442483664435 5.883143029412022 0.09495385330087203 -0.14971726365437732 4.851903089060627 5.979603634808214 -0.24467111695524935 4.756949235759755 5.884649781507342 5.001620352715005 6.129320898462591 1.1277005457475866
0.26 -0.10090739261698545 -0.014716431312237432 -0.2441665168352536 4.733033458283977 5.865437807564394 0.08619096130474801 -0.14325912421826814 4.833940850900962 5.9663452001813795 -0.22945008552301616 4.747749889596214 5.8801542388766315 4.97719997511923 6.109604324399648 1.1324043492804172
0.27 -0.10355995349248559 -0.02618438238987153 -0.23022896729816011 4.712319423995485 5.847821978134988 0.07737557110261406 -0.12666901380567452 4.8158793774879705 5.951381931627473 -0.20404458490828858 4.738503806385356 5.874006360524859 4.942548391293645 6.078050945433148 1.135502554139503
0.28 -0.10728202275754484 -0.04523874074293133 -0.20841845598869924 4.690652979907284 5.828169542624018 0.06204328201461351 -0.1011364332311544 4.797935002664829 5.9354515653815625 -0.1631797152457679 4.735891720650216 5.873408283366949 4.8990714358959835 6.036587998612717 1.1375165627167334
0.29 -0.1108853266006129 -0.0711918165652925 -0.1849391052526137 4.6686986857964925 5.810653571608011 0.0396935100353204 -0.0740537786520008 4.779584012397105 5.921538898208624 -0.1137472886873212 4.739890502361785 5.8818453881733035 4.853637791049106 5.995592676860625 1.1419548858115185
0.3 -0.11283158379487901 -0.09689768956862821 -0.15409759727651107 4.648478024536093 5.79337028099205 0.0159338942262508 -0.04126601348163206 4.761309608330972 5.906201864786929 -0.05719990770788286 4.745375714104721 5.890267970560679 4.802575621812604 5.9474678782685615 1.1448922564559574
0.31 -0.11584328583457904 -0.12941540151721043 -0.11996086022887908 4.627362262540505 5.774173088975125 -0.013572115682631392 -0.00411757439430005 4.743205548375084 5.890016374809704 0.009454541288331342 4.756777664057715 5.903588490492336 4.747323122769384 5.894133949204004 1.1468108264346206
0.32 -0.11850058425263654 -0.16755951661316715 -0.08742945846532635 4.605895545663991 5.757008716422948 -0.049058932360530605 0.031071125787310194 4.724396129916627 5.875509300675585 0.0801300581478408 4.773455062277158 5.924568233036116 4.693325004129317 5.844438174888275 1.1511131707589577
0.33 -0.11943143785105548 -0.20594242338547986 -0.06265501138149077 4.586176278919481 5.740144829084709 -0.08651098553442438 0.05677642646956471 4.705607716770537 5.859576266935765 0.1432874120039891 4.792118702304961 5.946087252470189 4.648831290300972 5.8027998404662 1.153968550165228
0.34 -0.12149158203314414 -0.24060894829468893 -0.04568146413849661 4.565496635125829 5.721190640689045 -0.11911736626154479 0.07581011789464753 4.686988217158973 5.842682222722189 0.19492748415619232 4.806105583420518 5.961799588983734 4.611178099264325 5.7668721048275415 1.155694005563216
0.35000000000000003 -0.12367565733858399 -0.2697130781662267 -0.030184282752017566 4.544443582348549 5.704457219498888 -0.1460374208276427 0.09349137458656642 4.668119239687133 5.828132876837472 0.23952879541420913 4.814156660514776 5.974170297665115 4.574627865100567 5.734641502250906 1.160013637150339
0.36 -0.12403571660811252 -0.2979118145444737 -0.023708514028633942 4.525015557735994 5.687860915131822 -0.17387609793636116 0.10032720257947858 4.649051274344107 5.811896631739934 0.27420330051583974 4.822927372280468 5.985772729676295 4.548724071764628 5.7115694291604555 1.1628453573958275
0.37 -0.1259320677100959 -0.32061727179108246 -0.02731499213014743 4.504136029506075 5.669819711379866 -0.19468520408098655 0.09861707557994848 4.630068097216171 5.7957517790899615 0.29330227966093503 4.824753301297157 5.990436983170948 4.531451021636222 5.697134703510013 1.1656836818737908
0.38 -0.12820999568874925 -0.33359017137263436 -0.030948140791686285 4.482981906845467 5.651827479932127 -0.2053801756838851 0.09726185489706296 4.611191902534216 5.780037475620876 0.3026420305809481 4.816572078218101 5.985417651304761 4.513930047637153 5.682775620723813 1.16884557308666
0.39 -0.13082370996491832 -0.34558059212429626 -0.04054912181879189 4.461788286886879 5.6335209909599016 -0.21475688215937794 0.09027458814612643 4.592611996851797 5.76434470092482 0.30503147030550437 4.807368879011175 5.979101583084198 4.502337408705671 5.674070112778693 1.1717327040730225
0.4 -0.13364108104856598 -0.3553659377068499 -0.05585082626902249 4.440162851955321 5.614680785875169 -0.2217248566582839 0.07779025477954349 4.573803933003887 5.748321866923735 0.2995151114378274 4.795528789662171 5.970046723582019 4.496013678224344 5.670531612144192 1.174517933919848
0.41000000000000003 -0.13738799996021456 -0.3613662772526247 -0.0701623724495839 4.417178646166818 5.59489198236685 -0.22397827729241016 0.06722562751063066 4.554566646127032 5.732279982327064 0.2912039048030408 4.778544923419442 5.956258259619474 4.4873410186164016 5.665054354816434 1.177713336200032
0.42 -0.14381470894679538 -0.3642352879151822 -0.08680336516935938 4.3948430255569235 5.575488208893123 -0.22042057896838685 0.057011343777436 4.538657734503719 5.719302917839919 0.27743192274582285 4.759078313472106 5.9397234968083055 4.481646390726283 5.662291574062483 1.1806451833361997
0.43 -0.1498880136462546 -0.3633981587834434 -0.10656313991550803 4.372100718735904 5.555632475611649 -0.2135101451371888 0.04332487373074656 4.521988732382159 5.7055204892579034 0.25683501886793536 4.735498877519348 5.919030634395092 4.478663858651412 5.662195615527157 1.1835317568757446
0.44 -0.15835004441935752 -0.35970355178289637 -0.12449641384210608 4.347777143371861 5.5346356600178375 -0.20135350736353885 0.03385363057725144 4.506127187791218 5.692985704437195 0.2352071379407903 4.707480695154757 5.894339211800734 4.472273557213967 5.6591320738599435 1.1868585166459766
0.45 -0.17067151836103633 -0.3532368495021885 -0.1424780085986832 4.325220554974081 5.5150324536738005 -0.18256533114115214 0.02819350976235313 4.495892073335117 5.685703972034837 0.21075884090350527 4.678457404476269 5.868269303175989 4.467698563572764 5.657510462272484 1.1898118986997197
0.46 -0.18210098144526654 -0.3423819624995197 -0.15695632696052542 4.303815988379984 5.496643756119894 -0.16028098105425315 0.025144654484741125 4.485916969825251 5.678744737565161 0.18542563553899427 4.646197950879504 5.839025718619414 4.46077231534051 5.65360008308042 1.1928277677399102
0.47000000000000003 -0.19497210587704217 -0.32928349206721563 -0.17227697156319977 4.282108262531985 5.4769447471323005 -0.13431138619017347 0.022695134313842402 4.477080368409027 5.671916853009343 0.15700652050401587 4.6113917545992 5.806228239199516 4.454385234095184 5.6492217186955 1.1948364846003159
0.48 -0.21145455168876381 -0.3157763071196804 -0.187392793658411 4.260009597707221 5.459351602814895 -0.1043217554309166 0.02406175803035282 4.471464149395985 5.6708061545036585 0.12838351346126942 4.575785904826901 5.775127909934575 4.447402391365632 5.646744396473306 1.199342005107674
0.49 -0.22550662434918323 -0.3017914629858751 -0.20207321204546602 4.240892965750376 5.4434761388595305 -0.07628483863669189 0.023433412303717205 4.4663995900995594 5.668982763208714 0.09971825094040909 4.542684428736251 5.745267601845406 4.442966177795842 5.6455493509049965 1.2025831731091543
